회사명,시가총액,주식수,액면가,업종명,회사코드,현재가,전날종가,고가,저가,시가,PER,추정PER,PBR,동일업종PER,17.12매출액(억원),18.12매출액(억원),19.12매출액(억원),20예상매출액(억원),19.2Q매출액(억원),19.3Q매출액(억원),19.4Q매출액(억원),20.1Q매출액(억원),20.2Q매출액(억원),20.3Q예상매출액(억원),17.12영업이익(억원),18.12영업이익(억원),19.12영업이익(억원),20예상영업이익(억원),19.2Q영업이익(억원),19.2영업이익(억원),19.4Q영업이익(억원),20.1Q영업이익(억원),20.2Q영업이익(억원),20.3Q예상영업이익(억원),17.12당기순이익(억원),18.12당기순이익(억원),19.12당기순이익(억원),20예상당기순이익(억원),19.2Q당기순이익(억원),19.3Q당기순이익(억원),19.4Q당기순이익(억원),20.1Q당기순이익(억원),20.2Q당기순이익(억원),20.3Q예상당기순이익(억원),17.12영업이익률(%),18.12영업이익률(%),19.12영업이익률(%),20예상영업이익률(%),19.2Q영업이익률(%),19.3Q영업이익률(%),19.4Q영업이익률(%),20.1Q영업이익률(%),20.2Q영업이익률(%),20.3Q예상영업이익률(%),17.12ROE(%),18.12ROE(%),19.12ROE(%),20예상ROE(%),19.2QROE(%),19.3QROE(%),19.3QROE(%),19.4QROE(%),20.2QROE(%),20.3Q예상ROE(%),17.12부채비율(%),18.12부채비율(%),19.12부채비율(%),20예상부채비율(%),19.2Q부채비율(%),19.3Q부채비율(%),19.4Q부채비율(%),20.1Q부채비율(%),20.2Q부채비율(%),20.3Q예상부채비율(%),17.12EPS(원),18.12EPS(원),19.12EPS(원),20예상EPS(원),19.2QEPS(원),19.3QEPS(원),19.4QEPS(원),20.1QEPS(원),20.2QEPS(원),20.3Q예상EPS(원),17.12PER(배),18.12PER(배),19.12PER(배),20예상PER(배),19.2QPER(배),19.3QPER(배),19.4QPER(배),20.1QPER(배),20.2QPER(배),20.3Q예상PER(배),17.12BPS(원),18.12BPS(원),19.12BPS(원),20예상BPS(원),19.2QBPS(원),19.3QBPS(원),19.4QBPS(원),20.1QBPS(원),20.2QBPS(원),20.3Q예상BPS(원),17.12PBR(배),18.12PBR(배),19.12PBR(배),20예상PBR(배),19.2QPBR(배),19.3QPBR(배),19.4QPBR(배),20.1QPBR(배),20.2QPBR(배),20.3Q예상PBR(배),종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,종가,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,거래량,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,기관,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인,외국인
S&T;모티브,8043,"14,623,136","5,000",자동차부품,'064960,"55,000","55,000","55,700","54,800","54,000",11.49,11,1.01,14.79,"11,375","9,189","9,763","9,591","2,523","2,398","2,587","2,165","1,926","2,560",967,582,892,820,227,272,255,188,131,224,591,572,37,710,214,251,145,240,62,179,8.51,6.33,9.14,8.54,8.99,11.34,9.84,8.66,6.82,8.74,8.12,7.77,0.33,9.31,-2.48,-0.33,0.33,12.22,9.85,,47.97,45.07,41.16,,51.47,42.98,41.16,41.66,44.04,,"3,888","3,848",166,"4,839","1,464","1,721",997,"1,641",426,"1,272",12.05,7.03,258.23,11.37,-37.66,-334.77,258.23,4.74,7.92,43.24,"49,272","54,639","53,249","57,024","50,784","52,738","53,249","53,564","54,344",,0.95,0.5,0.8,0.96,0.88,1.03,0.8,0.52,0.7,,"55,000","55,000","54,500","56,000","56,200","57,000","54,700","52,000","50,700","51,100","50,100","52,000","53,400","52,800","53,500","53,000","50,300","49,950","50,300","49,350","67,589","84,377","66,995","65,243","74,404","77,082","73,699","58,045","123,196","91,156","81,912","106,921","124,516","76,444","124,656","148,222","89,352","95,439","96,426","157,791","1,508","18,304","-12,863","14,993","3,191","14,877","6,537","3,416",136,195,"5,487","-13,171","-7,020","10,211","15,553","15,481","-1,390","1,054","16,000","17,976","5,159","-4,768","-4,435","-8,531","-10,215","-7,035","11,961","1,521","22,918","14,318","9,355","-1,191",-60,"-14,421","-14,652","9,239","-9,521","-10,724","-20,031","2,833"
SK이노베이션,137311,"92,465,564","5,000",석유와가스,'096770,"148,500","145,000","149,500","145,500","144,500",N/A,-8,0.82,-11.29,"461,627","542,165","498,765","382,543","131,036","123,725","115,518","111,630","71,996","96,928","32,218","21,032","12,693","-17,277","4,976","3,301","1,105","-17,752","-4,397","2,133","21,451","16,990",658,"-17,240","1,690","1,743","-4,890","-15,522","-3,458","1,628",6.98,3.88,2.54,-4.52,3.8,2.67,0.96,-15.9,-6.11,2.2,11.96,9.12,-0.2,-10.44,5.76,4.13,-0.2,-10.69,-13.81,,77.38,86.99,117.06,,97.7,99.28,117.06,135.55,148,,"22,449","17,619",-381,"-18,361","1,569","1,624","-5,663","-16,625","-3,754",528,9.11,10.19,-393.31,-7.9,14.38,20.9,-393.31,-4.56,-5.36,274.52,"194,069","205,445","198,025","185,321","204,644","206,154","198,025","184,800","180,581",,1.05,0.87,0.76,0.78,0.78,0.81,0.76,0.47,0.73,,"148,500","145,000","157,000","155,500","164,000","163,500","152,500","155,000","155,000","164,000","160,500","172,000","182,000","182,500","187,000","186,000","184,000","163,500","159,000","132,000","897,962","2,094,753","1,191,252","1,783,453","1,480,461","1,600,600","1,150,041","1,397,506","1,211,612","820,523","1,703,952","1,615,501","945,867","1,129,184","1,616,822","3,464,467","6,000,468","4,118,060","6,130,458","561,897","16,084","-198,301","125,699","-47,945","-31,240","165,921","-132,755","72,678","-69,951","55,987","-42,324","-250,971","40,746",-671,"-51,859","-109,960","-112,377","122,240","253,687","53,881","23,763","-314,241","-10,227","-57,319","-75,167","49,246","52,855","-237,941","72,426","-24,995","10,852","36,803","-20,077","25,353","12,109","-89,376","43,102","-139,502","252,570","-19,746"
STX,1111,"19,726,902","2,500",무역회사와판매업체,'011810,"5,630","5,210","6,760","5,160","5,160",N/A,,2.1,6.91,"18,039","15,030","14,712",,"3,844","3,629","3,575","3,051","3,044",,441,-148,17,,18,126,-136,3,38,,"3,344",91,-332,,-26,3,-165,4,-1,,2.44,-0.98,0.12,,0.47,3.47,-3.82,0.09,1.26,,-232.18,17.12,-54.53,,-25.6,-17.02,-54.53,-30.81,-24.86,,"1,374.49",765.34,895.02,,699.96,699.6,895.02,881.42,916.2,,"20,929",471,"-1,663",,-126,19,-830,23,-1,,1.14,24.95,-4.82,,-14.5,-14.24,-4.82,-4.94,-6.47,,"2,226","3,238","2,866",,"3,669","3,725","2,866","2,906","2,676",,10.72,3.63,2.79,,3.13,2.2,2.79,1.55,1.91,,"5,630","5,210","5,140","5,100","5,100","5,080","4,940","4,885","4,930","5,100","5,060","5,220","5,140","5,100","5,100","5,140","5,180","5,310","5,420","5,470","2,036,879","22,465","24,179","20,009","34,930","29,211","16,180","36,254","31,738","17,501","29,899","52,344","51,802","21,543","54,169","31,126","44,030","22,934","34,427","39,159","27,461","8,074",444,"3,074","2,962","4,971","8,250","17,005","-2,496",21,7,"-7,751",-552,-216,"-19,554","3,949","-7,131","-6,601","-3,170",-217,"-4,309",-70,"5,722","-4,095","3,106","7,262","-1,684",103,"-5,665","-1,445","-2,635","1,111","16,893",-282,"3,376","1,081","-4,934","-1,448","12,463",-911
WISCOM,356,"15,326,438",500,화학,'024070,"2,320","2,285","2,365","2,285","2,270",N/A,,0.3,77.78,"1,168","1,119","1,155",,298,276,291,284,211,,3,-3,8,,7,1,-3,2,-13,,1,11,11,,12,-2,-4,5,-11,,0.29,-0.31,0.72,,2.49,0.48,-0.96,0.57,-5.96,,0.06,0.9,0.92,,1.97,2,0.92,0.87,-1.09,,11.35,9.08,13.75,,13.34,12.6,13.75,12.85,11.91,,4,69,70,,78,-15,-29,33,-73,,934.67,40.12,37.89,,17.65,17.43,37.89,29.06,-25.86,,"7,602","7,644","7,697",,"7,771","7,751","7,697","7,712","7,627",,0.52,0.36,0.35,,0.34,0.35,0.35,0.25,0.28,,"2,320","2,285","2,290","2,275","2,260","2,240","2,220","2,200","2,180","2,305","2,265","2,230","2,290","2,320","2,295","2,305","2,300","2,285","2,280","2,265","187,010","182,306","66,876","128,994","74,103","13,295","6,354","16,827","111,083","34,732","63,641","122,429","46,813","45,068","21,230","34,308","68,435","18,656","24,296","69,459","-30,480","-68,550","-53,297","-10,419","-1,046",-27,-530,"-1,325",-536,-768,-22,"-1,551","-4,982",-80,"-1,964","-1,527",-386,-189,"-1,172",-799,"5,251",0,-64,64,-8,8,0,0,0,"-6,551","-14,112","-1,866",151,"-10,505",0,0,0,-49,0,0
YG PLUS,2947,"59,119,079",500,방송과엔터테인먼트,'037270,"4,985","5,090","5,200","5,140","4,950",N/A,,3.32,-29.19,725,936,"1,245",,413,312,280,193,271,,-60,17,12,,21,-4,9,-22,6,,-100,-14,-42,,6,-14,-34,-53,7,,-8.3,1.82,0.96,,5.15,-1.44,3.29,-11.61,2.33,,-8.2,-0.15,-3.48,,2.66,1.69,-3.48,-8.54,-8.01,,19.17,27.05,40.16,,40.22,39.88,40.16,41.8,41.5,,-138,-2,-55,,3,-23,-47,-66,10,,-14.47,-846.57,-24.69,,32.09,42.75,-24.69,-7.14,-26.33,,"1,623","1,628","1,562",,"1,634","1,615","1,562","1,486","1,501",,1.23,1.24,0.88,,0.84,0.71,0.88,0.64,2.2,,"4,985","5,090","5,500","5,160","4,950","4,210","4,025","4,010","4,070","4,280","3,980","4,405","4,115","3,995","3,855","3,960","4,025","4,105","4,090","3,990","5,138,938","10,403,876","61,965,799","20,358,444","10,723,915","2,800,117","1,866,889","2,371,654","3,542,679","6,804,735","7,183,014","8,800,062","28,685,385","9,891,900","2,380,730","6,249,262","2,441,268","4,679,388","6,465,729","6,780,635","38,444","-74,902","17,665","72,230","-3,667",737,"1,286","2,954","-9,088","13,756","-16,046","-5,416","43,262","-8,791","2,318","7,767",-511,"-14,764","13,466","-21,872","-74,501","-447,173","267,767","-242,394","232,250","148,882","73,053","18,948","-297,954","341,401","-321,828","266,262","61,857","-31,040","55,949","-108,932","-108,364","26,297","42,540","143,499"
갤럭시아에스엠,390,"27,549,644",500,방송과엔터테인먼트,'011420,"1,415","1,375","1,425","1,380","1,365",N/A,,2.15,-29.19,312,220,287,,66,80,105,28,54,,-35,-67,-5,,-2,5,1,-2,3,,-59,-160,-14,,-2,4,-3,-3,-1,,-11.36,-30.36,-1.59,,-2.33,6.18,0.89,-8.1,5.72,,-13.83,-47.8,-5.7,,-36.21,-32.07,-5.7,-1.89,-1.21,,23.06,25.62,29.56,,44.15,58.12,29.56,30.02,39.93,,-214,-581,-50,,-7,14,-12,-9,-2,,-13.71,-2.86,-29.75,,-5.68,-5.87,-29.75,-76,-148.66,,"1,470",961,791,,816,774,791,632,658,,2,1.73,1.88,,2.61,2.5,1.88,1.68,2.04,,"1,415","1,375","1,350","1,355","1,400","1,395","1,345","1,340","1,380","1,455","1,425","1,625","1,655","1,625","1,650","1,745","1,735","1,600","1,595","1,475","127,170","110,931","179,217","208,341","64,421","204,713","263,034","155,162","216,564","69,976","337,855","222,231","616,366","113,652","337,382","432,882","1,977,268","318,563","855,103","526,094","-1,301",-37,5,230,-684,-13,-11,-7,261,881,-12,-1,-351,-15,-18,-13,122,-45,-106,-175,"10,582","12,040","9,714","-5,322","-5,654","27,164","46,247","8,271","10,749","4,751","7,034","-21,876","-2,780","-14,794","4,832","-9,918","-62,319","-40,572","15,695","33,199"
고려아연,75857,"18,870,000","5,000",비철금속,'010130,"402,000","398,500","403,000","397,000","396,000",13.79,13,1.05,19.25,"65,967","68,833","66,948","70,007","17,427","17,311","17,243","17,326","16,220","17,506","8,948","7,647","8,053","7,914","2,421","2,088","1,769","2,043","1,640","2,027","6,340","5,348","6,386","5,834","1,845","1,592","1,415","1,419","1,110","1,554",13.56,11.11,12.03,11.3,13.89,12.06,10.26,11.79,10.11,11.58,10.96,8.64,9.76,8.46,9.08,9.13,9.76,9.63,8.35,,15.27,13.36,14.66,,15.73,16.56,14.66,15.83,15.71,,"33,336","27,950","33,541","30,907","9,786","8,368","7,373","7,302","6,106","8,011",14.79,15.47,12.67,12.89,15.86,14.48,12.67,10.84,11.49,49.75,"337,232","353,622","379,956","400,128","363,175","374,039","379,956","375,789","382,250",,1.46,1.22,1.12,1,1.31,1.2,1.12,0.95,0.88,,"402,000","398,500","398,500","400,000","404,000","410,000","403,500","411,500","405,500","418,000","419,500","429,000","429,000","432,000","450,500","450,000","454,000","450,000","427,000","410,500","32,186","65,620","52,231","42,411","30,694","33,957","45,652","33,257","49,256","32,772","73,382","48,893","88,524","132,334","81,894","86,497","129,264","103,885","99,434","72,806","-3,706","-4,610","-8,917","-15,011","-4,902","-9,860","-18,095","-1,926","-10,690","-5,123","5,312","-6,780","-19,100","-41,767","-4,084","-22,942","9,978","7,890","8,339","1,345","-1,463","-2,813","-3,985","3,458","-3,248","8,665","2,513","8,665","8,703","4,466","-7,507","8,511","14,428","33,414","10,641","31,012","2,575","18,149",-380,"7,247"
극동유화,1074,"34,869,420",500,석유와가스,'014530,"3,080","3,065","3,085","3,055","3,055",7.76,,0.61,-11.29,"4,901","8,309","7,956",,"2,027","1,894","2,143","1,707","1,481",,136,186,167,,57,41,33,44,39,,151,163,142,,53,36,25,45,29,,2.78,2.23,2.09,,2.8,2.17,1.55,2.59,2.61,,10.48,10.57,8.75,,10.95,11.11,8.74,9.95,8.32,,80.94,75.17,71.27,,70.35,68.45,71.27,74.14,72.62,,433,467,412,,152,103,76,131,86,,7.85,7.05,8.37,,7.28,6.66,8.37,5.87,7.58,,"4,407","4,749","4,997",,"4,825","4,932","4,997","4,965","5,063",,0.77,0.69,0.69,,0.74,0.69,0.69,0.55,0.59,,"3,080","3,065","3,050","3,045","3,050","3,070","3,050","3,050","3,040","3,085","3,085","3,150","3,160","3,145","3,140","3,150","3,205","3,110","3,095","3,075","55,553","64,297","53,610","82,495","68,515","90,915","54,050","57,723","193,799","74,238","279,107","213,373","137,330","113,131","154,417","161,176","339,940","133,135","128,200","95,917",-32,-52,"1,021",1,-52,-28,-24,142,-34,-131,-25,-174,-473,-56,-492,-219,-145,-290,-440,-599,"-2,459","8,477","4,479","-4,625","-1,014","4,461","-2,481","-5,902","-19,663","-2,274","-37,439","-7,999","11,520","-7,404","12,552","-22,439","15,403","35,519","27,227","19,066"
까뮤이앤씨,544,"45,152,280",500,건설,'013700,"1,205","1,180","1,215","1,175","1,175",4.38,,0.7,6.45,"1,722","1,163","2,834",,843,808,606,430,466,,101,41,148,,59,55,-13,18,17,,84,17,135,,43,34,23,37,31,,5.86,3.48,5.24,,7.03,6.86,-2.16,4.27,3.64,,15.31,2.93,20.68,,13.85,19.33,20.68,20.1,17.32,,136.76,138.81,138.08,,161.43,164.42,138.08,121.43,122.54,,187,39,299,,95,75,51,81,68,,5.41,34.54,4.25,,6.76,4.51,4.25,3.43,4.36,,"1,334","1,344","1,601",,"1,505","1,572","1,601","1,664","1,733",,0.76,0.99,0.79,,0.87,0.79,0.79,0.63,0.69,,"1,205","1,180","1,185","1,180","1,160","1,165","1,140","1,135","1,130","1,195","1,175","1,300","1,295","1,300","1,315","1,350","1,310","1,305","1,285","1,320","430,358","612,798","244,093","522,388","203,424","289,577","289,501","425,033","921,060","452,449","1,230,986","886,391","607,903","810,572","1,539,146","2,440,448","1,218,260","767,149","790,501","1,503,098","18,803",-67,-462,363,-44,466,-752,41,38,134,117,"19,854",-584,-833,"-80,254","-12,826","-5,262","-13,143","-13,401","-1,322","11,487","56,519","7,740","-56,010","12,781","73,259","24,903","16,546","-96,174","29,504","-132,718","-148,906","61,907","-161,874","-215,261","409,027","-42,458","-8,434","-123,204","497,425"
넷마블,139436,"85,806,765",100,게임엔터테인먼트,'251270,"162,500","166,500","179,500","177,500","160,000",67.23,52,2.64,38.34,"24,248","20,213","21,787","25,772","5,262","6,199","5,550","5,329","6,857","6,623","5,098","2,417","2,027","2,659",332,844,511,204,817,768,"3,609","2,149","1,698","2,893",380,847,47,575,853,757,21.02,11.96,9.3,10.32,6.31,13.62,9.21,3.84,11.92,11.6,11.17,4.36,3.54,5.68,3.04,3.78,3.54,3.72,4.34,,19.76,19.37,24.91,,23.11,23.99,24.91,37.13,38.98,,"3,898","2,226","1,823","3,108",451,924,-14,628,878,873,48.36,50.08,50.68,53.57,71,47.28,50.68,46.84,41.58,190.83,"50,935","52,199","54,473","60,396","53,990","55,193","54,473","57,764","61,563",,3.7,2.14,1.7,2.76,2.09,1.71,1.7,1.61,1.63,,"162,500","166,500","152,500","150,500","150,000","151,000","152,000","148,000","148,000","154,000","148,500","145,500","149,500","149,500","150,000","155,000","151,000","140,000","136,000","132,500","1,774,476","1,798,138","415,107","594,484","323,248","318,266","385,524","346,529","527,406","500,380","708,632","476,480","920,922","613,777","662,236","1,107,751","1,548,323","484,739","469,039","460,498","-78,518","71,329","23,740","-11,095","-25,193","-15,403","12,803","-7,803","-41,541","78,794","88,061","39,357","22,692",-493,"-7,515","-103,889","43,479","86,408","64,550","60,372","-168,065","47,839","-36,598","18,486","24,778","-24,607","13,545","20,071","-15,606","-21,578","20,186","-8,934","-57,105","-3,255","-11,491","-50,243","-14,623","-18,929","-15,696","13,589"
대덕,2084,"33,890,150",500,전자장비와기기,'008060,"6,150","6,150","6,170","6,100","6,070",5.27,,0.25,30.75,"5,121","5,921","10,722",,"2,788","2,843","2,563",,10,,306,348,464,,227,62,84,-4,-3,,356,"2,647",646,,216,96,192,64,455,,5.97,5.88,4.33,,8.14,2.19,3.28,,-28.67,,7.22,,6.38,,,,6.38,8.66,11.12,,16.73,15.55,15.6,,18.84,17.61,15.6,263.5,2.07,,730,"5,152",794,,266,118,236,78,939,,13.51,1.77,13.16,,,2.97,13.16,10.43,5.2,,"12,488","14,153","14,955",,"14,776","15,170","14,955","4,804","25,080",,0.79,0.64,0.7,,0.8,0.72,0.7,1.52,0.23,,"6,150","6,150","6,060","5,990","6,150","6,200","6,070","6,040","6,000","6,380","6,400","6,960","6,660","6,650","6,690","6,620","6,640","6,700","6,720","6,770","129,409","274,911","182,043","306,605","168,467","243,903","244,337","277,580","531,948","272,909","767,758","1,358,783","411,934","331,281","385,094","329,686","301,681","331,812","418,595","380,941","-8,255","-11,767","-27,005","8,518","8,878","3,277","-30,923","-3,570","-33,057","-11,435","-11,404","59,112","-131,881","5,568","-30,022","-19,859","-10,049","-13,573","-68,483","7,020","24,072","-70,083","16,682","-27,036","-23,083","2,517","-6,055","-7,432","-18,994","-33,856","-104,409","69,174","7,213","-27,714","-60,986","-40,325","-44,291","2,428","17,393","37,866"
대덕전자,5436,"49,416,925",500,전자장비와기기,'353200,"11,000","10,950","11,350","11,250","10,900",N/A,,0.87,34.19,,,,,,,,,"1,486",,,,,,,,,,28,,,,,,,,,,-1,,,,,,,,,,1.87,,,,,,,,,,,,,,,,,,,,21.79,,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,"12,639",,,,,,,,,,0.61,,"11,000","10,950","10,900","11,050","11,600","11,700","11,000","10,700","10,300","10,900","10,900","12,400","13,050","13,200","13,250","12,450","12,400","12,850","12,800","13,200","856,332","726,353","791,435","854,811","943,854","1,451,908","1,055,869","1,332,850","1,874,257","1,761,748","2,421,267","1,514,875","1,649,403","2,254,318","5,945,603","1,665,935","2,082,930","2,205,706","2,141,719","2,214,912","-33,468","-201,516","-78,239","-9,192","-58,735","186,614","85,697","146,440","-17,552","-47,882","-183,579","-82,133","-78,233","6,347","-45,864","7,567","-335,481","28,767","-275,225","-109,962","17,787","85,022","18,991","-5,573","-21,418","-62,118","-33,160","-42,911","92,194","58,403","-38,323","-9,024","1,898","-63,793","-93,850","-334,417","-299,339","-155,663","23,976","23,775"
대영포장,1160,"108,394,549",500,포장재,'014160,"1,070","1,080","1,080","1,075","1,045",16.98,,0.72,9.91,"3,121","3,001","2,701",,696,651,691,656,595,,-27,95,134,,43,29,28,29,-3,,-30,106,108,,38,26,17,28,-2,,-0.88,3.17,4.96,,6.21,4.46,4.04,4.5,-0.42,,-2.22,7.88,7.42,,9.13,8.87,7.42,7.3,4.55,,60.68,55.85,40.99,,48.26,40.32,40.99,37.62,36.02,,-28,99,100,,35,24,15,26,-2,,-30.37,11.24,11.15,,11.24,9.51,11.15,8.95,16.12,,"1,276","1,361","1,460",,"1,430","1,449","1,460","1,484","1,483",,0.66,0.82,0.76,,0.93,0.77,0.76,0.6,0.68,,"1,070","1,080","1,085",986,991,"1,005",985,985,985,"1,010","1,000","1,090","1,070","1,060","1,070","1,080","1,095","1,070","1,075","1,075","2,369,334","8,038,713","32,494,007","947,688","884,446","922,569","1,059,883","822,921","1,614,494","1,069,848","3,625,670","7,272,337","811,506","1,243,587","1,183,659","955,995","2,426,897","910,754","568,784","1,431,924",-701,"-83,235","73,204",275,-164,-77,-66,398,-495,127,-112,-498,"-3,766","-2,595","-7,937",-452,-389,"-21,404",-750,"-1,500","340,879","3,834","89,864","-97,578","-69,064","112,847","78,105",120,"-30,310","5,093","-65,157","-123,319","226,200","-164,496","-33,210","-201,590","204,846","5,928","-61,185","178,480"
대한해운,3945,"24,427,109","5,000",해운사,'005880,"16,150","16,100","16,300","16,100","15,950",76.18,89,4.62,-19.38,"15,264","12,846","10,057","9,503","2,465","2,624","2,500","2,307","2,108","2,501",949,"1,350","1,288","1,422",327,399,189,338,354,343,"1,032",783,"1,010",460,169,401,187,427,-352,175,6.22,10.51,12.81,14.96,13.26,15.2,7.55,14.64,16.79,13.72,19.23,10.94,11.47,5.16,9.32,10.66,11.47,12.48,6.23,,281.49,276.27,273.2,,271.09,266.15,273.2,286.31,298.59,,494,313,371,181,67,148,56,161,-154,36,46.25,69.47,62.07,88.75,9.16,6.22,6.21,3.09,81.2,452.04,"2,656","3,072","3,401","3,656","3,324","3,610","3,401","3,716","3,495",,8.6,7.08,6.76,4.4,0.8,0.61,0.67,0.35,4.92,,"16,150","16,100","15,700","15,650","15,600","15,700","15,400","15,650","15,750","16,200","16,150","16,950","16,900","16,500","16,600","16,600","16,200","16,550","16,250","16,400","78,973","99,537","52,720","67,359","56,082","71,840","73,252","64,474","131,103","76,570","135,996","162,822","699,440","95,380","75,323","95,975","103,940","120,750","73,974","78,424","-23,019","-11,047","3,327","6,604","-3,032","-20,361","-15,025","-16,636","-20,320","-3,383",26,"-9,260","-75,112","-6,824","-15,904","-6,224","-47,172","-10,008","-9,612","-7,076","-7,380","4,927",988,"-1,050","-2,327","11,215",333,"-2,009","-11,908","2,347",-986,"19,778","-81,464","-5,509","4,941","47,070","-19,818","32,889",-132,"-2,826"
동아쏘시오홀딩스,6752,"6,138,297","5,000",제약,'000640,"110,000","108,500","112,000","108,500","107,000",22.98,,0.89,132.15,"6,903","7,075","7,697",,"1,934","2,254","1,843","1,811","2,003",,534,505,528,,141,197,126,88,142,,325,"-1,639",200,,58,175,-29,84,64,,7.73,7.14,6.86,,7.26,8.75,6.82,4.87,7.09,,3.64,-19.91,2.67,,-21.62,-19.62,2.67,3.89,3.98,,59.63,68.8,81.89,,83.12,77.59,81.89,78.36,84.46,,"5,310","-26,714","3,220",,946,"2,845",-473,"1,363","1,050",,24.11,-4.08,33.39,,-3.33,-3.25,33.39,17.45,19.89,,"148,700","119,609","121,392",,"119,338","122,294","121,392","122,712","123,236",,0.86,0.91,0.89,,0.82,0.71,0.89,0.67,0.77,,"110,000","108,500","103,000","99,800","99,100","99,800","98,000","97,200","102,500","106,500","106,500","107,000","107,500","106,000","103,000","103,000","104,000","109,500","110,000","106,000","26,620","63,738","26,900","21,670","16,706","21,900","18,180","47,771","29,466","19,593","30,032","19,268","26,189","21,868","32,614","22,586","22,104","45,714","57,149","34,329","11,229","6,628","2,807","-3,251","-3,905","-5,900","-2,338","-1,642","-6,287","-5,191","1,450",-978,"-3,118","-3,470","-17,369","-4,216","-3,049","-1,397","3,403","-2,353","-1,064","4,149",-445,-389,"-2,408","1,511","-2,263","3,310",-719,-6,"-1,051",-897,"-2,026",354,797,"-5,226",422,"-3,287","1,363","1,446"
두산,7568,"16,523,835","5,000",복합기업,'000150,"45,800","46,450","46,300","46,050","44,600",13.25,,0.52,19.64,"169,134","174,493","185,357",,"49,883","43,603","47,899","44,271","42,092",,"11,676","11,764","12,619",,"4,566","1,697","3,029",909,79,,459,"-3,405","4,331",,"1,896",-824,"2,710","-3,799","-2,372",,6.9,6.74,6.81,,9.15,3.89,6.32,2.05,0.19,,1.67,-5.21,23.52,,-4.73,-9.35,23.52,14.02,4.25,,278.37,304.2,327.74,,286.14,341.92,327.74,365.51,363.06,,"1,594","-4,779","18,218",,"1,640","-2,085","20,747","-9,105","-5,794",,70.89,-23.33,3.86,,-24.19,-16.53,3.86,3.15,10.99,,"125,871","102,338","87,768",,"101,557","54,744","87,768","80,486","88,673",,0.9,1.09,0.8,,0.99,1.94,0.8,0.41,0.43,,"45,800","46,450","43,400","42,100","42,200","43,100","42,000","43,250","41,750","44,450","43,950","45,900","44,300","45,300","45,100","44,300","44,400","44,400","45,200","45,700","106,500","326,981","187,917","39,292","75,188","55,610","63,063","95,979","159,795","77,780","106,368","199,433","78,127","78,029","70,097","73,170","162,540","89,493","91,197","100,959","20,101","61,319","18,424","-7,572","-12,820","-4,976","-8,937","6,913","-37,286","8,538","13,195","38,816","-8,905","5,944","-5,296","-10,920","4,293","1,127","-5,005","16,891","-6,693","38,168","-1,414",-779,"-7,957","19,433","-9,440","32,260","-19,782","10,848","-13,702","20,539","-12,010","-8,558","13,216","-4,830","-22,648","-22,041","-14,859","-16,200"
락앤락,5879,"54,186,600",500,포장재,'115390,"10,850","10,850","11,000","10,750","10,750",46.77,,0.84,9.91,"4,174","4,343","4,860",,"1,105","1,285","1,413","1,001","1,181",,516,365,243,,39,64,103,8,46,,349,304,164,,22,47,49,5,24,,12.35,8.41,5,,3.54,4.99,7.32,0.79,3.88,,5.33,4.68,2.44,,2.51,2.15,2.44,1.8,1.84,,13.42,11.93,16.95,,16.59,16.79,16.95,13.69,15,,634,554,302,,41,87,91,9,44,,42.95,37.39,47.33,,50.33,46.47,47.33,39.72,48.35,,"11,784","12,188","12,620",,"12,494","12,812","12,620","12,916","12,959",,2.31,1.7,1.13,,1.25,0.97,1.13,0.7,0.86,,"10,850","10,850","10,700","10,700","10,800","11,050","10,900","10,750","10,550","11,150","11,100","11,900","11,850","11,750","11,800","11,800","12,100","12,350","11,950","11,650","63,317","93,937","132,637","109,874","120,619","113,761","135,766","94,899","191,173","83,041","164,675","79,570","154,346","104,883","98,965","241,115","199,891","217,054","203,354","244,021","-2,377","-8,830","-4,243","12,117","-38,192","-28,158","21,668","-12,167","-24,027","-20,083","4,334","-3,897","-3,194","-16,229","-19,072","20,776","69,512","89,709","78,599","89,575","-7,880","19,796","9,624","4,675","-5,552","28,804","31,371","9,509","22,509","12,157","-2,717","10,470",-719,"30,424","21,940","10,871","-22,935","15,969","18,985",-923
